Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,,,,,Origins,,,,,,
A-10,00001,,X,,X,,,,,2,2,,,,,4,,,3,,2,,,,4,,,3,3,,,,,2,3,,1,0.2,0.2,0.1,0.5,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,"A-10 has an earthy, hashy taste that provides a very heavy body stone. Frequently used to treat insomnia and chronic pain.",,,,,Afghani,,,,,,
Afghani,00002,,X,,X,,,,,5,,,,,,5,4,,4,2,,,4,2,5,,,,,,,,,3,3,,1.3,0.1,0.1,0.3,0.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,"Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders. ",,,,,,,,,,,
A-Dub,00003,,,X,X,,,,,4,,,,,4,5,,,4,2,,,4,5,,,,2,,,,,,4,2,,0.5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawn (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",,,,,"Sour Diesel,
Sour Bubble,
Alien Dawn,
Chemdawg",,,,,,
Sour Diesel,00004,X,,,X,,,,,5,4,,4,,,3,,,4,,,,5,5,3,3,,,,,,,,2,,0.2,1.3,0.5,,0.3,0.8,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,"Sour Diesel, sometimes called Sour D, is an invigorating sativa named after its pungent, diesel-like aroma. This fast-acting strain delivers energizing, dreamy, cerebral effects that have pushed Sour Diesel to its legendary status. Stress, pain, and depression fade away in long-lasting relief that makes Sour Diesel a top choice among medical patients. This strain took root in the early 90s, with cannabis breeder Chem Dog, and it is believed to have descended from Chemdawg, Northern Lights, and a Skunk phenotype.",,,,,"Chemdawg,
Northern Lights,
Skunk No. 1",,,,,,
Sour Bubble,00005,,X,,X,,,,,3,2,,,,,5,4,,,,2,,4,4,5,,,4,,,,,,,3,,2.1,,,,1.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,"Sour Bubble is an indica bred by B.O.G. Seeds parented solely by BOG Bubble. These sticky buds offer a sweet, fruity aroma with diesel undertones and deliver relaxing, uplifting effects. Sour Bubble is useful for treating pain, insomnia, muscle spasms, anxiety, and nausea. Indoor or outdoor grows are recommended for intermediate growers, who can expect moderate growths with a flowering time between 7 and 8 weeks. ",,,,,BOG Bubble,,,,,,
Zen,00006,,,X,X,,,,,5,,,2,,,2,,,,,,,2,,2,,3,2,,,,,,,4,1.4,0.6,,,,0.4,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Chemdawg,00007,,,X,X,,,,,5,4,,,3,,5,,,4,,,,5,4,4,,,,,,,,,2,2,0.4,2.1,,0.1,0.2,1.7,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,"Chemdawg has developed quite the name for itself over the years. Between its mysterious origin, ambiguous genetics and the plethora of successful crosses the strain has produced, Chemdawg has practically secured itself a permanent place in the cannabis hall of fame. The original source of powerhouse strains like Sour Diesel and OG Kush, Chemdawg is known for its distinct, diesel-like aroma. 

Pungent and sharp, you’ll be able to smell this hybrid from a mile away. 
Chemdawg tends to be very potent and depending on grow conditions, can have THC levels of 15-20%. It produces a very cerebral experience, coupled with a strong heavy-bodied feeling. 
",,,,,"Nepalese,Thai",,,,,,
Northern Lights,00008,,X,,X,,,,,5,,,,,,6,4,,4,3,,,5,3,4,,,,,,,,,2,5,,2.1,0.2,0.2,0.3,1.7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,"Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. Itself a descendant of indegenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Sour Diesel, Shiva Skunk, and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, WA, but was propagated out of Holland after 1985 at what is now Sensi Seeds. 

Pungently sweet, spicy aromas radiate from the crystal-coated buds, which sometimes reveal themselves in hues of purple. Northern Lights' psychoactive effects settle in firmly thoroughout the body, relaxing muscles and pacifying the mind in dreamy euphoria. Comfortable laziness allows patients to relieve pain and sleeplesness, while its mellow contentment roots out depression and stress. Several different Northern Lights phenotypes circulate the market, but Sensi Seeds recommends a general indoor flowering time of 45 to 50 days.",,,,,"Afghani,Thai",,,,,,
Skunk No. 1,00009,,,X,X,,,,,3,3,,,5,,4,,,5,,,,5,3,2,,2,,,,,,,,2,,2.3,0.4,,0.1,1.8,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,"Skunk #1 is a hybrid strain that has influenced cannabis on a global scale, parenting a horde of Skunk crosses since it first bloomed in the late 1970s. Sacred Seed Co. originally bred Skunk #1 using diverse genetics from around the world; Afghani, Acapulco Gold, and Colombian Gold varieties converged through an intricate selective breeding process that spanned several generations, and finally the genetic cornerstone of countless cannabis hybrids was born. 

The original Skunk #1 gave rise to several variations that were later harvested in the gardens of Sensi Seeds, Dutch Passion, Flying Dutchmen, Nirvana Seeds, and Royal Queen Seeds. As its name suggests, Skunk #1 buds radiate with an aromatic blend of sour skunkiness and subtle earthy notes. This hybrid offers elevated creativity through its high-energy buzz, while stress and appetite loss melt away with Skunk #1's potency. ",,,,,"Afghani, Acapulco Gold, Colombian Gold",,,,,,
BOG Bubble,00010,,X,,X,,,,,3,4,,,,,4,4,,3,,,,5,3,3,,,,,,,,,,5,,2,,,,2.3,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"BOG Bubble is an indica-dominant hybrid bred by B.O.G. Seeds. These frosty, sticky buds ofer a sweet, bubblegum aroma and deliver long-lasting, uplifting effects. Grows are successful indoor or outdoor, flowering between 45 and 50 days.",,,,,Bubble Gum,,,,,,
