Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
A-10,00001,,X,,X,,,,,2,2,,,,,4,,,3,,2,,,,4,,,3,3,,,,,2,3,,1,0.2,0.2,0.1,0.5,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,Afghani
Afghani,00002,,X,,X,,,,,5,,,,,,5,4,,4,2,,,4,2,5,,,,,,,,,3,3,,1.3,0.1,0.1,0.3,0.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,
A-Dub,00003,,,X,X,,,,,4,,,,,4,5,,,4,2,,,4,5,,,,2,,,,,,4,2,,0.5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,"Sour Diesel,
Sour Bubble,
Alien Dawg,
Chemdawg"
Sour Diesel,00004,X,,,X,,,,,5,4,,4,,,3,,,4,,,,5,5,3,3,,,,,,,,2,,0.2,1.3,0.5,,0.3,0.8,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Chemdawg,
Northern Lights,
Skunk No. 1"
Sour Bubble,00005,,X,,X,,,,,3,2,,,,,5,4,,,,2,,4,4,5,,,4,,,,,,,3,,2.1,,,,1.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,BOG Bubble
Zen,00006,,,X,X,,,,,5,,,2,,,2,,,,,,,2,,2,,3,2,,,,,,,4,1.4,0.6,,,,0.4,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Chemdawg,00007,,,X,X,,,,,5,4,,,3,,5,,,4,,,,5,4,4,,,,,,,,,2,2,0.4,2.1,,0.1,0.2,1.7,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Nepalese,
Thai"
Northern Lights,00008,,X,,X,,,,,5,,,,,,5,4,,4,3,,,5,3,4,,,,,,,,,2,5,,2.1,0.2,0.2,0.3,1.7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,"Afghani,
Thai"
Skunk No. 1,00009,,,X,X,,,,,3,3,,,5,,4,,,5,,,,5,3,2,,2,,,,,,,,2,,2.3,0.4,,0.1,1.8,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,"Afghani,
Acapulco Gold,
Colombian Gold"
BOG Bubble,00010,,X,,X,,,,,3,4,,,,,4,4,,3,,,,5,3,3,,,,,,,,,,5,,2,,,,2.3,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Bubble Gum
